u67,(p232,0.01796945193171609)
u67,(p229,0.016949152542372885)
u67,(p232,0.014527845036319617)
u67,(p230,0.008385744234800839)
u67,(p232,0.007187780772686435)
u67,(p195,0.0011931275851097677)
u67,(p196,0.0011931275851097677)
u67,(p192,0.0010047390190398042)
u68,(p229,0.8333333333333335)
u68,(p232,0.35714285714285726)
u68,(p118,0.06412213740458017)
u68,(p229,0.0593220338983051)
u68,(p232,0.05084745762711867)
u68,(p118,0.029870560902754736)
u68,(p229,0.023728813559322035)
u68,(p230,0.020964360587002098)
u68,(p232,0.020338983050847463)
u68,(p232,0.01796945193171609)
u68,(p229,0.016949152542372885)
u68,(p232,0.014527845036319617)
u68,(p229,0.01105379513633014)
u68,(p232,0.009474681545425837)
u69,(p96,0.4166666666666667)
u69,(p40,0.4166666666666667)
u69,(p64,0.4166666666666667)
u69,(p66,0.4166666666666667)
u69,(p68,0.4166666666666667)
u69,(p101,0.4166666666666667)
u69,(p69,0.4166666666666667)
u69,(p103,0.4166666666666667)
u69,(p105,0.4166666666666667)
u69,(p31,0.4166666666666667)
u69,(p32,0.4166666666666667)
u69,(p36,0.4166666666666667)
u69,(p38,0.4166666666666667)
u69,(p59,0.4166666666666667)
u69,(p97,0.41666666666666663)
u69,(p99,0.41666666666666663)
u69,(p43,0.41666666666666663)
u69,(p60,0.41666666666666663)
u69,(p62,0.41666666666666663)
u69,(p108,0.41666666666666663)
u69,(p34,0.41666666666666663)
u69,(p70,0.41666666666666663)
u69,(p65,0.2857142857142857)
u69,(p102,0.2857142857142857)
u69,(p37,0.2857142857142857)
